id,name,type,searchcode,system,vendor
CMDB_MESSAGEQUEUESOFT-565356984,Active MQ,CMDB_MESSAGEQUEUESOFT,HW-MQS-ZZZ-Z00002,BOSS系统,
CMDB_HOST-1100926965,测试WEB服务器14,CMDB_HOST,HW-EPS-ZZZ-Z00386,BOSS系统,Fujitsu
CMDB_CASSANDRA_CLUSTER-3643408245,Cassandra集群,CMDB_CASSANDRA_CLUSTER,LG-CAC-ZZZ-Z00002,BOSS系统,
CMDB_KAFKA-3480282561,kafka_153,CMDB_KAFKA,KA-KAF-ZZZ-Z00001,BOSS系统,
CMDB_CPS-1381145801,宿主机IT-22,CMDB_CPS,CP-CPS-ZZZ-Z00147,BOSS系统,
CMDB_HOST-4033561791,数据库10.22.1.166,CMDB_HOST,HW-ISS-ZZZ-Z00002,BOSS系统,IBM
CMDB_DB-3595918538,10.22.1.166,CMDB_DB,SW-DBS-ZZZ-Z00001,BOSS系统,亿阳信通2
CMDB_HOST-1213807313,10.10.2.58,CMDB_HOST,HW-ISS-ZZZ-Z00003,BOSS系统,IBM
CMDB_DBOBJECT-4183926066,10.22.1.166数据库实例,CMDB_DBOBJECT,LG-DBS-ZZZ-Z00001,BOMC系统,
CMDB_MIDWARESERVICE-3603161159,中间件服务_ly,CMDB_MIDWARESERVICE,LG-MWS-ZZZ-Z00001,SIMS系统,
CMDB_PROCESS-163211211,process_test_2,CMDB_PROCESS,LG-PRO-ZZZ-Z00041,BOSS系统,
CMDB_HOST-594299771,10.10.1.112,CMDB_HOST,HW-ISS-ZZZ-Z00083,CRM系统,亿阳信通
CMDB_PROCESS-177889598,process_test,CMDB_PROCESS,LG-PRO-ZZZ-Z00001,BOSS系统,
CMDB_PROCESS-1355068617,test_cpu_process,CMDB_PROCESS,LG-PRO-ZZZ-Z00021,BOSS系统,
CMDB_HOST-1475088098,亿阳资产111,CMDB_HOST,HW-ISS-ZZZ-Z00041,BOSS系统,Linux
CMDB_HOST-818567716,11123212,CMDB_HOST,HW-EPS-ZZZ-Z00047,其他系统,HP
CMDB_HOST-3844673700,FFSAFD,CMDB_HOST,HW-ISS-ZZZ-Z00063,,HP
CMDB_ROUTER-3902857694,路由器,CMDB_ROUTER,HW-RUT-ZZZ-Z00001,BOMC系统,ZTE
CMDB_MAGNETICTAPEARCHIVESS-2238749986,磁带库0508,CMDB_MAGNETICTAPEARCHIVESS,HW-TPL-ZZZ-Z00001,,HP
CMDB_HOST-2094199099,主机名,CMDB_HOST,HW-EPS-ZZZ-Z00064,BOMC系统,亿阳信通1
CMDB_BUSI_SYS-1672441606,容灾,CMDB_BUSI_SYS,AP-DRY-ZZZ-Z00023,容灾系统,
CMDB_BUSI_SYS-1479059605,OTA1,CMDB_BUSI_SYS,AP-OTA-ZZZ-Z00024,其他系统,亚信
CMDB_PROCESS-3113815162,test_ly,CMDB_PROCESS,LG-PRO-ZZZ-Z00061,BOSS系统,
CMDB_PROCESS-2449860613,test_crm,CMDB_PROCESS,LG-PRO-ZZZ-Z00062,CRM系统,
CMDB_HOST-2222071117,测试WEB服务器,CMDB_HOST,HW-EPS-ZZZ-Z00103,BOSS系统,Fujitsu
CMDB_PROCESS-437803901,kdmflush,CMDB_PROCESS,LG-PRO-ZZZ-Z00083,BOSS系统,
CMDB_PROCESS-3002929041,nm-applet,CMDB_PROCESS,LG-PRO-ZZZ-Z00092,BOSS系统,
CMDB_CVD-2833737775,硬盘 1,CMDB_CVD,,,
CMDB_PROCESS-3344995753,mpt_poll_0,CMDB_PROCESS,LG-PRO-ZZZ-Z00084,BOSS系统,
CMDB_PROCESS-3623397585,NetworkManager,CMDB_PROCESS,LG-PRO-ZZZ-Z00085,BOSS系统,
CMDB_PROCESS-104256333,jbd2/dm-0-8,CMDB_PROCESS,LG-PRO-ZZZ-Z00086,BOSS系统,
CMDB_PROCESS-575680069,md_misc/1,CMDB_PROCESS,LG-PRO-ZZZ-Z00087,BOSS系统,
CMDB_PROCESS-2883420858,events/0,CMDB_PROCESS,LG-PRO-ZZZ-Z00088,BOSS系统,
CMDB_PROCESS-2969878146,stopper/1,CMDB_PROCESS,LG-PRO-ZZZ-Z00089,BOSS系统,
CMDB_PROCESS-3588000322,udisks-daemon,CMDB_PROCESS,LG-PRO-ZZZ-Z00090,BOSS系统,
CMDB_PROCESS-2714115220,gvfsd-trash,CMDB_PROCESS,LG-PRO-ZZZ-Z00091,BOSS系统,
CMDB_CVD-2717772895,硬盘 1,CMDB_CVD,,,
CMDB_CVD-308920732,硬盘 1,CMDB_CVD,,,
CMDB_CVD-2095438557,硬盘 1,CMDB_CVD,,,
CMDB_BUSI_SYS-401123518,测试-TEST-APP1,CMDB_BUSI_SYS,AP-BSA-ZZZ-Z00041,BOSS系统,
CMDB_BUSI_SYS-3928851458,测试-TEST-APP2,CMDB_BUSI_SYS,AP-BSA-ZZZ-Z00042,BOSS系统,
CMDB_CPS-3937290623,宿主机CRP,CMDB_CPS,CP-CPS-ZZZ-Z00061,BOMC系统,
CMDB_PROCESS-445810113,test_bomc_gevt_1,CMDB_PROCESS,LG-PRO-ZZZ-Z00122,BOSS系统,
CMDB_HOST-3678605329,10.10.10.110,CMDB_HOST,HW-EPS-ZZZ-Z00387,BOSS系统,Fujitsu
CMDB_HOST-1477988417,bomc194,CMDB_HOST,HW-ISS-ZZZ-Z00421,,IBM
CMDB_HOST-4134702446,TESTTEE333,CMDB_HOST,LG-PRS-ZZZ-Z00364,BOSS系统,IBM
CMDB_MAGNETICTAPEARCHIVESS-1784660368,test0508,CMDB_MAGNETICTAPEARCHIVESS,HW-TPL-ZZZ-Z00041,,Borland
CMDB_DB-1896282780,10.22.1.186,CMDB_DB,SW-DBS-ZZZ-Z00021,BOSS系统,亿阳信通2
CMDB_CVD-580817015,硬盘 2,CMDB_CVD,CP-CVD-ZZZ-Z00945,,
CMDB_NONRELATIONALDB-243015847,非关系型数据库软件,CMDB_NONRELATIONALDB,HW-NDS-ZZZ-Z00001,BOSS系统,
CMDB_ACTIVEMQ_CLUSTER-1579590020,activemq集群,CMDB_ACTIVEMQ_CLUSTER,LG-ACC-ZZZ-Z00001,BOSS系统,
CMDB_HD_YARN_CLUSTER-4286559642,YARN集群,CMDB_HD_YARN_CLUSTER,LG-YAC-ZZZ-Z00001,BOSS系统,
CMDB_ACTIVEMQ-896654814,activemq_162,CMDB_ACTIVEMQ,LG-ACI-ZZZ-Z00001,BOSS系统,
CMDB_CONTAINERSOFT-629385165,docker软件,CMDB_CONTAINERSOFT,HW-CSS-ZZZ-Z00022,,
CMDB_CONTAINERINS-357206878,docker容器实例,CMDB_CONTAINERINS,LG-CSI-ZZZ-Z00024,,
CMDB_CVD-992382863,system,CMDB_CVD,CP-CVD-ZZZ-Z01096,,
CMDB_PROCESS-2177946717,topo,CMDB_PROCESS,LG-PRO-ZZZ-Z00148,BOMC系统,
CMDB_CVD-1538263838,硬盘 1,CMDB_CVD,CP-CVD-ZZZ-Z00947,,
CMDB_HOST-2153410476,10.10.10.190,CMDB_HOST,HW-EPS-ZZZ-Z00361,,
CMDB_MESSAGEQUEUESOFT-211927861,kafka,CMDB_MESSAGEQUEUESOFT,HW-MQS-ZZZ-Z00001,BOSS系统,
CMDB_MONGODB-1881865831,mongdb,CMDB_MONGODB,LG-MOI-ZZZ-Z00001,BOSS系统,
CMDB_PROCESS-2010869669,topo,CMDB_PROCESS,LG-PRO-ZZZ-Z00149,BOMC系统,
