id,start_id,end_id,type,subtype
CMDB_TO_CMDB-2742309547,CMDB_BUSI_SYS-144873476,CMDB_PROCESS-2883420858,包含,BasedOn
CMDB_TO_CMDB-3048655744,CMDB_BUSI_SYS-831949916,CMDB_PROCESS-3588000322,包含,BasedOn
CMDB_TO_CMDB-2909775085,CMDB_BUSI_SYS-1136809574,CMDB_PROCESS-2714115220,包含,BasedOn
CMDB_TO_CMDB-132317784,CMDB_BUSI_INS-3592957331,CMDB_BUSI_SYS-3208198177,关联,Depends
CMDB_TO_CMDB-1494992629,CMDB_BUSI_SYS-2660616162,CMDB_PROCESS-177889598,包含,BasedOn
CMDB_TO_CMDB-2021402717,CMDB_BUSI_SYS-1072558249,CMDB_PROCESS-177889598,包含,BasedOn
CMDB_TO_CMDB-1757278265,CMDB_BUSI_SYS-1672441606,CMDB_PROCESS-2449860613,包含,BasedOn
CMDB_TO_CMDB-2398068998,CMDB_PROCESS-445810113,CMDB_HOST-1213807313,包含,RunsOn
CMDB_TO_CMDB-1209156094,CMDB_CVM-4179861383,CMDB_CPS-1381145801,包含,RunsOn
CMDB_TO_CMDB-3219507110,CMDB_CVM-3611852704,CMDB_CPS-615055560,包含,RunsOn
CMDB_TO_CMDB-1846209601,CMDB_MIDWARE-1780807150,CMDB_HOST-4033561791,关联,Deployed
CMDB_TO_CMDB-4029581273,CMDB_MIDWARE-2778409913,CMDB_HOST-4033561791,关联,Deployed
CMDB_TO_CMDB-408794054,CMDB_MIDWARE-3826590164,CMDB_HOST-4033561791,关联,Deployed
CMDB_TO_CMDB-775372631,CMDB_MIDWARE-2473067680,CMDB_HOST-4033561791,关联,Deployed
CMDB_TO_CMDB-1263344786,CMDB_CVM-72561826,CMDB_CPS-315745245,包含,RunsOn
CMDB_TO_CMDB-1453029585,CMDB_BUSI_INS-3967516587,CMDB_BUSI_SYS-3928851458,关联,Depends
CMDB_TO_CMDB-1300068379,CMDB_BUSI_INS-3967516587,CMDB_BUSI_SYS-2372543744,关联,Depends
CMDB_TO_CMDB-2368049416,CMDB_NONRELATIONALDB-243015847,CMDB_HOST-2565787294,部署,Deployed
CMDB_TO_CMDB-2087039975,CMDB_CVM-1216118186,CMDB_CVD-1273469714,关联,StorConnects
CMDB_TO_CMDB-1330048693,CMDB_BUSI_INS-3967516587,CMDB_BUSI_SYS-401123518,关联,Depends
CMDB_TO_CMDB-2234893552,CMDB_CVM-1479273894,CMDB_CVD-852033659,关联,StorConnects
CMDB_TO_CMDB-1184561919,CMDB_PROCESS-3113815162,CMDB_KAFKA-3480282561,包含,RunsOn
CMDB_TO_CMDB-2860876960,CMDB_CVM-2506378024,CMDB_CPS-3937290623,包含,RunsOn
CMDB_TO_CMDB-3068352515,CMDB_CVM-1479273894,CMDB_CVD-1538263838,关联,StorConnects
CMDB_TO_CMDB-3542363400,CMDB_PROCESS-2883420858,CMDB_HOST-4033561791,包含,RunsOn
CMDB_TO_CMDB-2438400042,CMDB_PROCESS-3588000322,CMDB_HOST-4033561791,包含,RunsOn
CMDB_TO_CMDB-1252310283,CMDB_PROCESS-3002929041,CMDB_HOST-4033561791,包含,RunsOn
CMDB_TO_CMDB-3805413770,CMDB_BUSI_SYS-401123518,CMDB_PROCESS-1355068617,包含,BasedOn
CMDB_TO_CMDB-4004287018,CMDB_BUSI_SYS-3928851458,CMDB_PROCESS-3113815162,包含,BasedOn
CMDB_TO_CMDB-1204083116,CMDB_PROCESS-1355068617,CMDB_KAFKA-34802825612,包含,RunsOn
CMDB_TO_CMDB-1495210570,CMDB_CVM-2754138909,CMDB_CPS-3951198091,包含,RunsOn
CMDB_TO_CMDB-1537057789,CMDB_BUSI_SYS-2727734481,CMDB_PROCESS-3344995753,包含,BasedOn
CMDB_TO_CMDB-195636635,CMDB_BUSI_SYS-1501813888,CMDB_PROCESS-575680069,包含,BasedOn
